manage_id,permission_date,legacy_address,address,store_name
3130000-101-1970-02282,1970.12.17,"서울특별시 마포구 용강동 494-61번지 2층, 3층 ","서울특별시 마포구 토정로 268 (용강동,2층, 3층)",부영각
3130000-101-1971-00749,1971.11.4,서울특별시 마포구 용강동 40-1번지 ,서울특별시 마포구 토정로 313 (용강동),태순집
3130000-101-1971-00754,1971.6.2,서울특별시 마포구 용강동 50-14 ,"서울특별시 마포구 토정로 312 (용강동, 2층)",마포옥하우스
3130000-101-1971-08714,1971.11.23,서울특별시 마포구 도화동 179-7 ,서울특별시 마포구 새창로2길 13 (도화동),도화곱창
3130000-101-1973-00744,1973.8.23,서울특별시 마포구 용강동 43-2 ,서울특별시 마포구 토정로 311 (용강동),조박집투
3130000-101-1976-00632,1976.1.8,서울특별시 마포구 도화동 343-1번지 ,서울특별시 마포구 도화2길 4 (도화동),외백
3130000-101-1976-00926,1976.9.1,서울특별시 마포구 염리동 148-24번지 ,서울특별시 마포구 백범로 127-20 (염리동),태종대
3130000-101-1976-02360,1976.12.6,서울특별시 마포구 합정동 393-20 ,서울특별시 마포구 포은로 12 (합정동),주과려
3130000-101-1976-03765,1976.11.5,서울특별시 마포구 아현동 618-8번지 외3필지 1F ,"서울특별시 마포구 마포대로 179 (아현동,외3필지 1F)",빽다방 마포경찰서점
3130000-101-1976-04317,1976.5.28,서울특별시 마포구 노고산동 54-28번지 지하1층 일부 ,"서울특별시 마포구 신촌로16길 20 (노고산동,지하1층 일부)",엘피와음악사랑
3130000-101-1977-00595,1977.9.23,서울특별시 마포구 도화동 335-2번지 ,"서울특별시 마포구 도화길 20-4 (도화동, 1층)",한양설농탕
3130000-101-1977-01046,1977.4.4,서울특별시 마포구 노고산동 31-23번지 ,"서울특별시 마포구 신촌로20길 12 (노고산동, 1층 일부)",벌떼식당
3130000-101-1977-01055,1977.10.13,서울특별시 마포구 노고산동 54-2 ,서울특별시 마포구 신촌로12가길 36 (노고산동),사랑채
3130000-101-1978-00573,1978.5.29,서울특별시 마포구 도화동 343-2번지 ,서울특별시 마포구 도화길 22 (도화동),마포원조삼계탕
3130000-101-1979-00347,1979.2.1,서울특별시 마포구 공덕동 119-45 ,"서울특별시 마포구 마포대로14길 16, 1층 (공덕동)",신촌식당
3130000-101-1980-00354,1980.4.26,서울특별시 마포구 공덕동 242-38 지상1층지하1층 ,"서울특별시 마포구 마포대로12길 35 (공덕동,지상1층지하1층)",마포나루김치찌개
3130000-101-1980-02279,1980.9.27,서울특별시 마포구 용강동 43-7 ,"서울특별시 마포구 토정로 303, 1,2층 (용강동)",카나
3130000-101-1980-07848,1980.10.30,서울특별시 마포구 도화동 343-2번지 ,서울특별시 마포구 도화길 22-3 (도화동),마미치킨
3130000-101-1981-00519,1981.6.24,서울특별시 마포구 도화동 194-22번지 1층 ,"서울특별시 마포구 도화길 50-6, 1층 (도화동)",오목집마포점
3130000-101-1981-00733,1981.9.7,서울특별시 마포구 용강동 45-16 ,"서울특별시 마포구 토정로32길 3 (용강동, 1층)",남도 사계절 맛집
3130000-101-1981-02292,1981.7.13,서울특별시 마포구 염리동 148-13 ,"서울특별시 마포구 백범로 133 (염리동, 1층)",컴포즈커피 마포공덕점(Composecoffee 마포공덕점)
3130000-101-1981-04321,1981.8.26,서울특별시 마포구 노고산동 107-97번지 ,서울특별시 마포구 백범로 14 (노고산동),노고산갈비
3130000-101-1981-07557,1981.12.12,서울특별시 마포구 도화동 179-1 ,서울특별시 마포구 도화길 35 (도화동),크레프트한스
3130000-101-1982-03377,1982.7.12,서울특별시 마포구 공덕동 105-77번지 ,서울특별시 마포구 마포대로14길 8 (공덕동),먹태에 꼬치다
3130000-101-1983-00520,1983.8.9,서울특별시 마포구 도화동 38-2 ,서울특별시 마포구 새창로 20 (도화동),최연탄
3130000-101-1983-00928,1983.12.17,서울특별시 마포구 염리동 147-28 ,"서울특별시 마포구 숭문길 18, 1층 (염리동)",금화 갈매기
3130000-101-1983-01145,1983.2.5,서울특별시 마포구 구수동 56-6번지 ,서울특별시 마포구 창전로 54 (구수동),마포칼국수
3130000-101-1983-01146,1983.11.9,서울특별시 마포구 신수동 86-3번지 1층동 ,"서울특별시 마포구 백범로 48, 1층동 (신수동)",용궁설렁탕
3130000-101-1983-01804,1983.8.23,서울특별시 마포구 망원동 484-1 1층 ,"서울특별시 마포구 월드컵로 105 (망원동,1층)",청기와식당
