처분일자,교부번호,업소명,소재지도로명,소재지지번,지도점검일자,처분명,법적근거,위반내용
20020102,20010069899,월드,"서울특별시 마포구 월드컵북로 15, (서교동)",서울특별시 마포구 서교동  445번지 3호  ,20020101,2002.2.1까지,,객실내 음향기기 설치 1차
20020104,20000069048,텃두리,"서울특별시 마포구 월드컵북로 18, (동교동)",서울특별시 마포구 동교동  206번지 1호  ,20020103,2월(갈음 과징금 600만원),,음향시설 갖추고 손님에게 노래허용 
20020114,19990070464,라브리스,"서울특별시 마포구 어울마당로 68, (서교동)",서울특별시 마포구 서교동  363번지 17호  ,20020113,2002.1.30일까지,,무도장 설치 1차
20020121,20010069946,송림,"서울특별시 마포구 신촌로30길 3-4, (아현동)",서울특별시 마포구 아현동  346번지 30호  ,20020120,1월(갈음 과징금 120만원),,음향시설을 갖추고 손님에게 노래 허용 1차
20020206,19990070506,포장마차타운,"서울특별시 마포구 희우정로 103, (망원동)",서울특별시 마포구 망원동  456번지 18호  ,20020205,3？(2002.2.16-2002.5.15),,1차(2회적발)
20020218,19990069167,여울목,"서울특별시 마포구 동교로 261-1, (연남동)",서울특별시 마포구 연남동  229번지 13호  ,20020217,1월(갈음 과징금 120만원),,(객실내 음향기기 설치 2차)
20020218,20000069546,비어타임,"서울특별시 마포구 월드컵로 164, (성산동,1층)",서울특별시 마포구 성산동  279번지 17호  1층,20020217,2002.3.5까지,,(업종미표기 1차)
20020306,19840069024,도날드양념통닭,"서울특별시 마포구 도화길 48, (도화동)",서울특별시 마포구 도화동  182번지 1호  ,20020305,15일(갈음 과징금 60만원),,(경과제품 조리판매 목적 보관 1차)
20020306,19920069200,슈만,,서울특별시 마포구 합정동  384번지 51호  ,20020305,15일(갈음 과징금 150만원),,"유통기한 경과제품 조리,판매 목적보관 1차"
20020306,19830069090,히포호프,,서울특별시 마포구 합정동  384번지 72호  ,20020305,15일(갈음 과징금 90만원),,"경과제품 조리,판매목적 보관 1차"
20020307,19990070612,엔비,"서울특별시 마포구 와우산로 79, (서교동)",서울특별시 마포구 서교동  362번지 4호  ,20020306,2002.3.22까지,,무도장 설치 1차
20020312,20000069133,제우스,"서울특별시 마포구 잔다리로 23, (서교동,B1)",서울특별시 마포구 서교동  395번지 17호  B1,20020311,2002.3.27까지,,(객실내 음향기기 설치 1차)
20020318,20000069326,죠커레드,"서울특별시 마포구 와우산로17길 6, (서교동)",서울특별시 마포구 서교동  407번지 4호  ,20020317,2002.4.2까지,,무도장 설치 1차
20020318,20000069067,디디,"서울특별시 마포구 와우산로 73, (서교동)",서울특별시 마포구 서교동  363번지 1호  ,20020317,2002.4.2까지,,무도장 설치1차
20020318,19970069104,후퍼,"서울특별시 마포구 와우산로 65, (서교동)",서울특별시 마포구 서교동  407번지 2호  ,20020317,2002.4.2까지,,무도장설치영업1차
20020318,20000069236,엠아이,"서울특별시 마포구 와우산로17길 22, (서교동)",서울특별시 마포구 서교동  407번지 17호  ,20020317,2002.4.2까지,,무도장설치 1차
20020323,19790069002,한국관,"서울특별시 마포구 마포대로 180, (공덕동)",서울특별시 마포구 공덕동  105번지 159호  ,20020322,2002.4.22까지,,"칼,도마 대장균 양성반응 1차"
20020326,20010069083,미송,"서울특별시 마포구 마포대로 12, (마포동,한신빌딩114,115호)","서울특별시 마포구 마포동  136번지 1호  한신빌딩114,115호",20020325,2월 갈음 과징금 240만원,,음향시설갖추고 손님이 노래 부르는 것 허용
20020406,19950069120,옛토담집,"서울특별시 마포구 신촌로18길 17, 1층동 2층호 (노고산동)",서울특별시 마포구 노고산동  57번지 33호 1층 -2층,20020405,2002.5.6까지,,조리장 위생상태 불량 1차
20020406,19940069987,미락,"서울특별시 마포구 굴레방로 23-1, (아현동)",서울특별시 마포구 아현동  291번지 2호  ,20020405,2002.4.22까지,,"객실내 음향기기 설치, 객실잠금장치 설치 1차"
20020409,19990070001,엉클톰,"서울특별시 마포구 양화로6길 78, (합정동)",서울특별시 마포구 합정동  411번지 2호  ,20020117,영업정지45일(2002.3.8 ~ 4.21) 및 과징금300만원,식품위생법,유흥접객원 교용영업
20020415,20010069379,홈,"서울특별시 마포구 잔다리로 23, (서교동)",서울특별시 마포구 서교동  395번지 17호  ,20020309,영업정지15일 갈음 과징금390만원,식품위생법,"유통기한경과제품 조리,판매목적 보관"
20020415,19950069675,사랑이네잔치집,"서울특별시 마포구 월드컵로25길 43, (망원동,지하1층)",서울특별시 마포구 망원동  423번지 11호  지하1층,20020414,2002.4.30까지,,조리종사원 위생복 및 위생모 미착용 1차
20020419,19930069474,에덴의동쪽,"서울특별시 마포구 월드컵로1길 45, (합정동)",서울특별시 마포구 합정동  382번지 28호  ,20020314,영업정지3월(2002.4.30~7.29),식품위생법,유흥접객원고용영업
20020419,20020069389,스타,"서울특별시 마포구 도화길 20, (도화동)",서울특별시 마포구 도화동  335번지 1호  ,20020419,시정명령(2002.5.13까지),식품위생법,객실내음향기기설치
20020419,19930069965,토크쇼,"서울특별시 마포구 동교로9길 37, (망원동)",서울특별시 마포구 망원동  379번지 4호  ,20020419,영업정지 2월(2002.4.20 ~ 6.19),식품위생법,청소년 주류제공
20020425,19880069114,방가방가,"서울특별시 마포구 대흥로30길 20, (염리동)",서울특별시 마포구 염리동  9번지 117호  ,20020425,영업정지 2월(2002.5.3~7.2까지),식품위생법,청소년주류제공
20020426,20010069128,베르사체,"서울특별시 마포구 백범로 135, (염리동,지하1층)",서울특별시 마포구 염리동  148번지 9호  지하1층,20020129,시정명령(2002.5.13까지),식품위생법,객실내음향기기설치
20020427,19990070585,피노키오치킨,"서울특별시 마포구 포은로 81-1, (망원동,(1층))",서울특별시 마포구 망원동  399번지 5호  (1층),20020427,영업정지2월7일(2002.5.7~7.13까지),유통기한경과제품조리.판매목적보관,식품위생법
20020427,19780069009,맛보러갈까?,,서울특별시 마포구 신공덕동  63번지 7호  ,20020427,영업정지2월(2002.5.7~7.6까지),식품위생법,청소년주류제공
20020427,20010070036,비어캐슬(망원점),"서울특별시 마포구 포은로 67, (망원동)",서울특별시 마포구 망원동  394번지 86호  ,20020324,영업정지15일 갈음 과징금90만원,식품위생법,유통기한경과제품 조리.판매 목적보관
20020501,20000069165,피렌체,"서울특별시 마포구 서강로 137-7, (노고산동,102호)",서울특별시 마포구 노고산동  57번지 18호  102호,20020329,영업정지15일 갈음 과징금90만원,식품위생법,유통기한경과제품 조리.판매 목적보관
20020515,19930069403,빠체,"서울특별시 마포구 와우산로 69, 1층동 (서교동)",서울특별시 마포구 서교동  407번지 1호 1층 ,20020411,영업정지15일 갈음 과징금60만원,식품위생법,식사류 미취급
20020515,19960069590,니꼬르,"서울특별시 마포구 어울마당로 50, (서교동)",서울특별시 마포구 서교동  408번지 14호  ,20020404,영업정지1월 갈음 과징금420만원,식품위생법,음향시설 갖추고 손님 노래허용
20020515,20000069671,김밥천국,"서울특별시 마포구 와우산로23길 52, (서교동)",서울특별시 마포구 서교동  346번지 39호  ,20020404,영업정지3월(2002.5.23~8.22),식품위생법,영업정지중영업
20020515,19990069055,스카,"서울특별시 마포구 와우산로 66, (서교동)",서울특별시 마포구 서교동  360번지 24호  ,20020411,영업정지15일(2002.5.23~6.6),식품위생법,식사류 미취급
20020515,20010070169,모드니치킨호프,,서울특별시 마포구 신수동  450번지  삼익상가 103호,20020323,영업정지2월(2002.05.23~7.22),식품위생법,청소년 주류제공
20020520,19990070519,석류의계절,"서울특별시 마포구 동교로 181, (동교동)",서울특별시 마포구 동교동  201번지 35호  ,20020225,영업정지 2월 갈음 과징금600만원,식품위생법,음향시설 갖추고 손님 노래허용 
20020527,19990069839,큰별,"서울특별시 마포구 백범로 109, (대흥동)",서울특별시 마포구 대흥동  194번지 2호  ,20020322,영업정지3월(2002.6.4~9.3),식품위생법,유흥접객원고용영업
